execution_id,model_id,execution_date,Oficina,power_usage_W,duration_epoch_h,num_epochs,emission_factor_location,total_inference_energy_Wh,num_predictions,model_accuracy,total_data,data_used,model_size_mb,energy_epoch_Wh,EPT_kWh,CPT_kg_CO2,EPP_Wh,CE,DWR,MFS,EPT_per_MB,CPT_per_MB
1.0,27.0,2024-01-01T00:08:24,Lisboa,155.2630140142346,0.5319316376286701,,0.3152766068234399,8598.019913676339,55829.0,0.7539845638799902,16285.0,14129.0,82.75567798606116,82.58930930775496,0.3303572372310198,0.1041539087937621,0.1540063392444131,7.239138430925093,0.1323917715689284,0.0256234692955011,0.0039919585612803,0.0012585711497802
2.0,8.0,2024-01-01T00:20:50,Valencia,62.3386714018483,0.5735229275274287,6.0,0.7127387302247836,4558.520354858708,88278.0,0.8250726784633143,122627.0,98418.0,137.55393498742336,35.752657320558434,0.2145159439233506,0.1528938214848998,0.0516382377813125,5.396376847999711,0.1974198178215238,0.0267453066718616,0.0015595042333246,0.0011115190670399
3.0,46.0,2024-01-01T00:32:18,Barcelona,82.58309547159197,1.2878907068662746,9.0,0.3255874865133791,2018.582977023137,41492.0,0.8132907619828507,143431.0,122421.0,172.44554749122022,106.35800120211364,0.9572220108190228,0.3116595085378482,0.0486499319633456,2.609549010066811,0.1464815834791642,0.0581897093599008,0.0055508653296354,0.0018072922906502
4.0,27.0,2024-01-01T03:08:21,Madrid,83.64762570990361,0.421432308794662,12.0,0.2468032912012493,9746.60042353025,72038.0,0.615224223446123,142200.0,104374.0,294.66873519595765,35.251812028116404,0.4230217443373968,0.104403158752163,0.1352980430263229,5.892774038633931,0.2660056258790436,0.0401718064835412,0.0014355840773405,0.0003543068750837
5.0,9.0,2024-01-01T03:16:57,Barcelona,132.98532671840962,1.3832116625252666,7.0,0.4764791697814043,1834.1654103149967,43800.0,0.6043186354138319,29744.0,22999.0,395.1284096594995,183.94685486163712,1.28762798403146,0.6135279128186134,0.0418759226099314,0.9849896358219904,0.2267684238838085,0.2427615617557725,0.0032587582987036,0.0015527304486845
6.0,32.0,2024-01-01T03:35:54,Lisboa,63.386856676134734,1.2331612284235571,13.0,0.2044130512231513,7560.301266422631,16661.0,0.6841994030392727,133871.0,107837.0,118.9385977336646,78.16621404465026,1.0161607825804535,0.2077165261005758,0.4537723585872775,3.2939093286587373,0.1944707965130611,0.0655970029411703,0.0085435746001975,0.001746418152379
7.0,50.0,2024-01-01T07:08:05,Braga,106.33017587275565,1.5200285752796738,8.0,0.3892500855543835,3643.2677655662446,53161.0,0.5930903465148191,103040.0,83321.0,384.33192574727553,161.62490574110188,1.292999245928815,0.5033000670995447,0.0685327169459988,1.1784030745966805,0.1913722826086956,0.204797655902544,0.003364277488566,0.001309545300253
8.0,36.0,2024-01-01T07:21:18,Barcelona,83.8165102711574,0.8141637042833958,15.0,0.4901864173141404,3211.788918261002,26429.0,0.6347986752691607,132336.0,115387.0,421.9272410212966,68.2403604824728,1.023605407237092,0.5017574673169318,0.121525177579969,1.2651504294767062,0.1280755047757224,0.1832424917577343,0.0024260235123937,0.0011892037738601
9.0,11.0,2024-01-01T09:23:22,Lisboa,59.14016891658979,1.8429848559424933,14.0,0.2365872463726314,4951.140699640182,47261.0,0.7258926818742701,98823.0,70888.0,222.7286131344821,108.99443569115596,1.5259220996761835,0.3610137077415322,0.1047616575959074,2.0107067025664658,0.2826771095797537,0.0989564992356574,0.0068510375842678,0.0016208681168573
10.0,14.0,2024-01-01T09:34:43,Valencia,146.92492072041173,1.6364458763057674,5.0,0.5038712298827968,2388.6544150493464,61962.0,0.8263134194970488,38351.0,32611.0,387.66510020027886,240.4346806394696,1.202173403197348,0.605740591201435,0.0385503117241106,1.364137440183968,0.1496701520168965,0.1052090119576132,0.0031010617220282,0.0015625357838208
11.0,11.0,2024-01-01T09:53:40,Barcelona,73.42543997378313,0.6386898051036333,7.0,0.7286459510396959,9703.133686181647,66530.0,0.8308820170780301,131681.0,110582.0,416.5182015898338,46.89607994650407,0.3282725596255285,0.2391944714085784,0.1458459895713459,3.4736673142363914,0.1602281270646486,0.0404520865307055,0.0007881349683459,0.000574271353558
12.0,49.0,2024-01-01T11:45:22,Barcelona,141.35442812275687,1.8928737359692929,9.0,0.7167321256796018,7560.823717821963,30783.0,0.8920158841751553,86945.0,65744.0,209.4845999204716,267.56608445652563,2.4080947601087304,1.725958876250641,0.2456168572855785,0.5168233707357568,0.2438438093047328,0.186376143201968,0.0114953307356384,0.0082390728335442
13.0,45.0,2024-01-01T12:55:57,Braga,86.56778983689928,1.4654629197415987,17.0,0.5000735004966074,3886.4547818379306,41289.0,0.6560344588535522,40994.0,31183.0,275.12827177644635,126.86188604995952,2.156652062849312,1.0784845464222843,0.0941280917880774,0.6082928689426761,0.2393277064936332,0.3709615206282224,0.0078387148253585,0.0039199335621117
14.0,35.0,2024-01-01T13:32:06,Valencia,,1.3621919589792737,20.0,0.401112846734012,8073.320731743836,10765.0,0.7899035269683152,168729.0,154087.0,434.9379120859138,186.60835092786027,3.7321670185572056,1.4970201373002712,0.7499601237105282,0.5276505688112043,0.0867782064731018,0.3145186509041954,0.0085809190572929,0.0034419168706648
